stationId,building,x,y,assetId,assetType,type,size,manufacturer,lastInspection,nextDue,isoCategory,inspectionStickerID,status
ST-1-042,1,5445,3788,1-042-2,extinguisher,CO2,13.8,152 | 009095,1/10/2025,1/10/2026,5,233901,good
ST-1-042,1,5445,3788,1-M17,hose,Water,30 m,,1/1/2021,1/1/2100,1,,good
ST-1-043,1,5291,3840,1-043-1,extinguisher,Water,14,149 | 002,1/10/2025,1/10/2026,1,233898,good
ST-1-043,1,5291,3840,1-043-2,extinguisher,Powder,9.1,150 | TORNADO,1/10/2025,1/10/2026,2,233899,good
ST-1-043,1,5291,3840,1-M15,hose,Water,30 m,,1/1/2021,1/1/2100,1,,good
ST-1-043,1,5291,3840,1-M16,hose,Water,30 m,MOBIAK MBK14-SJR-10B 30 M 19mm,1/1/2021,1/1/2100,1,,good
ST-1-044,1,6003,3825,1-044-1,extinguisher,CO2,14.1,145 | 1162,1/10/2025,1/10/2026,5,233894,good
ST-1-044,1,6003,3825,1-M11,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-045,1,6507,3827,1-045-1,extinguisher,CO2,13.4,141 | TORNADO,1/10/2025,1/10/2026,5,233890,good
ST-1-045,1,6507,3827,1-045-2,extinguisher,Powder,9.1,142 | TORNADO,1/10/2025,1/10/2026,2,233891,good
ST-1-045,1,6507,3827,1-M08,hose,Water,30 m,,9/30/2024,9/30/2025,,,good
ST-1-046,1,6176,4144,1-046-1,extinguisher,Powder,9.1,143 | TORNADO,1/10/2025,1/10/2026,2,233892,good
ST-1-046,1,6176,4144,1-046-2,extinguisher,CO2,6.5,144 | 10477,1/10/2025,1/10/2026,5,233893,good
ST-1-046,1,6176,4144,1-M09,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-046,1,6176,4144,1-M10,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-047,1,5585,4140,1-047-2,extinguisher,Powder,9.1,146 | Tornado,1/10/2025,1/10/2026,2,233895,good
ST-1-047,1,5585,4140,1-047-1,extinguisher,CO2,6.3,147 | 10640,1/10/2025,1/10/2026,5,233896,good
ST-1-047,1,5585,4140,1-M13,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-048,1,5291,4155,1-048-1,extinguisher,,,,1/1/2020,1/1/2021,?,219159,good
ST-1-048,1,5291,4155,1-048-2,extinguisher,,,,1/1/2020,1/1/2021,?,STK-NOT-ASSIGNED,good
ST-1-048,1,5291,4155,1-M14,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-049,1,4971,4157,1-049-2,extinguisher,Powder,9.3,199 | 070759 ,1/13/2025,1/13/2026,2,233970,good
ST-1-049,1,4971,4157,1-049-1,extinguisher,Water,13.4,200 | 002,1/13/2025,1/13/2026,1,233971,good
ST-1-049,1,4971,4157,1-M22,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-050,1,4749,3270,1-050-2,extinguisher,Powder,9.25,197 | 072201,1/13/2025,1/13/2026,2,233968,good
ST-1-050,1,4749,3270,1-050-1,extinguisher,Water,13.25,198 | 02391,1/13/2025,1/13/2026,1,233969,good
ST-1-050,1,4749,3270,1-M23,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-051,1,5442,2953,1-051-2,extinguisher,Water,13.25,195 | 763,1/13/2025,1/13/2026,1,233966,good
ST-1-051,1,5442,2953,1-051-1,extinguisher,Powder,9.3,196 | 01516,1/13/2025,1/13/2026,2,233967,good
ST-1-051,1,5442,2953,1-M24,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-053,1,5828,3119,1-053-3,extinguisher,Powder,9.2,186 | SOLTI,1/13/2025,1/13/2026,2,233957,good
ST-1-053,1,5828,3119,1-053-2,extinguisher,Water,13.7,187 | 002,1/13/2025,1/13/2026,1,233958,good
ST-1-053,1,5828,3119,1-053-1,extinguisher,CO2,18.5,188 | 002061,1/13/2025,1/13/2026,5,233959,good
ST-1-053,1,5828,3119,1-M25,hose,Water,30 m,,9/30/2023,9/30/2024,1,,good
ST-1-054,1,6632,3089,1-054-2,extinguisher,Water,14,139 | 002,1/10/2025,1/10/2026,1,233888,good
ST-1-054,1,6606,3089,1-054-1,extinguisher,Powder,9.1,140 | TORNADO,1/10/2025,1/10/2026,2,233889,good
ST-1-056,1,5997,4823,1-056,extinguisher,Powder,9.35,270 | 16865,1/14/2025,1/14/2026,2,234131,good
ST-1-057,1,5330,4268,5-057-1,extinguisher,Powder,17500,84 | 00649,1/9/2025,1/9/2026,2,233793,good
ST-1-057,1,5330,4268,5-057-2,extinguisher,Powder,17550,85 | 02320,1/9/2025,1/9/2026,2,233794,good
ST-1-057,1,5330,4268,5-057-3,extinguisher,CO2,14400,86 | TORNADO,1/9/2025,1/9/2026,5,233795,good
ST-1-060,1,6893,4425,1-060-3,extinguisher,CO2,14.4,81 | TORNADO ,1/9/2025,1/9/2026,5,233790,good
ST-1-060,1,6893,4434,1-060-2,extinguisher,Powder,16.7,82 | TORNADO,1/9/2025,1/9/2026,2,233791,good
ST-1-060,1,6893,4451,1-060-1,extinguisher,Powder,16.7,83 | TORNADO,1/9/2025,1/9/2026,2,233792,good
ST-1-M1,1,7159,4181,1-M01,hose,Water,30 m,,9/30/2024,9/30/2025,,-,good
ST-1-M12,1,5820,3818,1-M12,hose,Water,30 m,MOBIAK MBK14-SJR-10B 30 M 19mm,1/1/2021,1/1/2100,1,,good
ST-1-M18,1,5283,3706,1-M18,hose,Water,30 m,MOBIAK MBK14-SJR-10B 30 M 19mm,1/1/2021,1/1/2100,1,,good
ST-1-M19,1,5458,3417,1-M19,hose,Water,30 m,MOBIAK MBK14-SJR-10B 30 M 19mm,1/1/2021,1/1/2100,1,,good
ST-1-M27,1,6552,2946,1-M27,hose,Water,30 m,MOBIAK MBK14-SJR-10B 30 M 19mm,1/1/2020,1/1/2100,1,N/A,good
ST-1-M6,1,6612,3078,1-M06,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-2-001,2,7331,2093,2-001-1,extinguisher,,9.3,101 | 26961,1/10/2025,1/10/2026,2,233846,
ST-2-001,2,7331,2093,2-001-1,extinguisher,Water,13.3,102 | TORNADO,1/10/2025,1/10/2026,1,233847,good
ST-2-001,2,7331,2093,2-M1,hose,Water,30 m,,9/30/2024,9/30/2025,,-,
ST-2-002,2,6891,2404,2-002-1,extinguisher,Powder,9.2,103 | 00217,1/10/2025,1/10/2026,2,233848,good
ST-2-002,2,6891,2404,2-002-2,extinguisher,Water,13.8,104 | 04055,1/10/2025,1/10/2026,1,233849,good
ST-2-002,2,6891,2404,2-M2,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-2-003,2,6860,2411,2-003-1,extinguisher,Powder,9.25,105 | 0041,1/10/2025,1/10/2026,2,233850,good
ST-2-003,2,6860,2411,2-003-2,extinguisher,Water,13.8,106 | 002003,1/10/2025,1/10/2026,1,233851,good
ST-2-003,2,6860,2411,2-M3,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-2-004,2,6746,2603,2-004-1,extinguisher,Powder,9.35,107 | 0041 ,1/10/2025,1/10/2026,2,233852,good
ST-2-004,2,6746,2603,2-004-2,extinguisher,Water,13.8,108 | 00481,1/10/2025,1/10/2026,1,233853,good
ST-2-004,2,6746,2603,2-M4,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-2-005,2,6278,2406,2-005-1,extinguisher,Water,14,109 | 00478,1/10/2025,1/10/2026,1,233854,good
ST-2-005,2,6278,2406,2-M5,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
